danceability,energy,loudness,tempo,valence,cluster,PCA1,PCA2
0.786,0.667,-8.272,102.046,0.688,1,0.8805673237634055,1.3004244707772743
0.571,0.739,-11.163,93.105,0.818,1,0.3893746046731361,1.092849095419578
0.286,0.929,-8.494,99.762,0.127,0,-0.6937440107912854,-1.5859866369622797
0.725,0.607,-7.486,129.971,0.57,1,0.5479650733986705,0.5079291215877905
0.184,0.161,-18.261,86.351,0.087,0,-4.021617244341047,0.18855276196888415
0.886,0.708,-5.915,109.976,0.965,1,2.0072238164539926,1.7196467280917747
0.808,0.697,-5.899,95.06,0.554,1,1.056395122853961,1.0223632562018925
0.716,0.562,-8.741,105.004,0.533,1,0.1539030925922528,0.9718215522227579
0.431,0.829,-7.713,131.891,0.356,0,-0.026598702023428823,-1.1424481457577407
0.616,0.233,-12.894,93.995,0.407,0,-1.5980074854427522,1.4493886273835639
0.528,0.325,-12.501,83.651,0.0412,0,-2.201987021587753,0.535332061670857
0.232,0.235,-14.975,113.492,0.0973,0,-3.2539275405104435,-0.43224050750860143
0.17,0.0371,-26.981,83.567,0.0397,0,-5.5431657168617745,0.9639170757452367
0.634,0.775,-6.943,84.972,0.653,1,0.8540413471047623,0.7588519165665153
0.819,0.696,-8.536,120.274,0.948,1,1.4777091624166148,1.537705676889311
0.551,0.625,-6.375,131.319,0.367,1,-0.023245546844179708,-0.5176256835367714
0.461,0.933,-8.366,139.982,0.12,0,-0.20471986947747528,-1.6920132981280276
0.436,0.0695,-19.735,97.128,0.255,0,-3.5237604801283435,1.353630700051513
0.447,0.85,-4.303,84.806,0.486,1,0.6391314409832664,-0.4283698039035186
0.429,0.535,-11.043,81.182,0.926,1,-0.2176768007177669,1.3309607287093819
0.623,0.758,-6.791,124.024,0.196,1,0.07803525495392488,-0.6486326982411872
0.609,0.518,-6.692,130.016,0.406,1,-0.10720648062171305,-0.05585124813284189
0.898,0.435,-8.834,115.034,0.836,1,0.8227608140273489,2.110877348340218
0.303,0.187,-12.192,86.147,0.0477,0,-2.978264693372467,-0.0032544173846603764
0.299,0.337,-17.328,159.072,0.396,0,-2.563705843496013,-0.40555726880890935
0.236,0.499,-12.763,98.581,0.0757,0,-2.4258884784952803,-0.8089643581309108
0.936,0.693,-5.298,126.036,0.611,1,1.575338743911692,0.9990302118016494
0.423,0.372,-10.938,149.737,0.114,0,-1.8895492587593972,-0.8920991761423683
0.592,0.901,-5.554,109.902,0.62,1,1.208828894919156,-0.12193927843953753
0.564,0.763,-7.544,83.959,0.865,1,0.9585148202810143,0.981439618551957
0.482,0.721,-6.839,95.263,0.557,1,0.24459193580325284,0.035577975635645395
0.678,0.656,-6.41,123.207,0.485,1,0.5277619349619205,0.16196800719284268
0.542,0.927,-3.971,135.002,0.369,1,0.9607369834159645,-1.2591590229952476
0.641,0.617,-7.411,139.942,0.941,1,1.0557931186490042,0.7008001088049585
0.498,0.83,-5.157,89.342,0.453,1,0.5518239934318258,-0.2991505922491209
0.373,0.856,-7.503,151.733,0.402,0,0.044540909651787336,-1.6135463168620148
0.579,0.224,-13.55,124.035,0.15,0,-2.1847973458971963,0.490689625319906
0.295,0.402,-10.493,149.525,0.069,0,-2.138578942058921,-1.4480058552576993
0.553,0.846,-5.146,95.046,0.488,1,0.7880183098971687,-0.18198729459350588
0.683,0.643,-7.425,107.027,0.771,1,0.8521345173297757,1.0152533730556312
0.185,0.779,-4.295,159.076,0.263,0,-0.3822348551497202,-2.676015170477172
0.782,0.697,-5.85,76.031,0.416,1,0.72628406333737,0.9981641026527843
0.759,0.843,-3.718,105.016,0.56,1,1.583625867706827,0.32788217389785085
0.929,0.439,-9.199,112.054,0.763,1,0.7229212446793883,2.151274786078926
0.398,0.023,-32.806,130.112,0.173,0,-5.480025922987372,1.6446386048395893
0.649,0.656,-7.244,150.039,0.399,1,0.25128986807791054,-0.43059792002610775
0.765,0.833,-5.162,126.422,0.837,1,1.9140026021487238,0.6110471225355892
0.481,0.59,-7.145,175.788,0.454,0,-0.13005710468236142,-1.1678963739215131
0.404,0.918,-5.593,144.332,0.523,1,0.7010698615355854,-1.4372639261293492
0.191,0.978,-3.395,155.759,0.269,0,0.20364561301095108,-2.9779038894315857
0.601,0.9,-6.781,127.014,0.0394,0,0.08167376818604362,-1.2565365481927635
0.148,0.00377,-40.046,81.078,0.239,0,-7.00219316868695,2.3165794301413274
0.78,0.725,-6.032,100.92,0.431,1,0.8330929356227409,0.5992195932556695
